City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,zhaqsy,51.9083,67.3133,261.9,94,100,7.88,KZ,1706288866
227,saldanha,-33.0117,17.9442,291.98,86,89,6.16,ZA,1706288866
228,chonchi,-42.6128,-73.8092,293.71,57,64,3.02,CL,1706288866
229,mamuju,-2.6748,118.8885,299.78,88,93,4.53,ID,1706288866
230,peniche,39.3558,-9.3811,292.0,74,100,2.71,PT,1706288866
231,carnarvon,-24.8667,113.6333,298.32,71,0,9.97,AU,1706288866
232,afaahiti,-17.75,-149.2833,299.08,83,51,2.31,PF,1706288867
233,guanica,17.9716,-66.908,304.28,60,1,8.59,PR,1706288867
234,champerico,14.3,-91.9167,302.72,60,0,2.6,GT,1706288867
235,sisimiut,66.9395,-53.6735,252.02,95,97,3.0,GL,1706288867
236,port lincoln,-34.7333,135.8667,288.1,77,29,3.72,AU,1706288867
237,moreira sales,-24.0622,-53.0069,299.68,43,31,1.3,BR,1706288867
238,tabou,4.423,-7.3528,302.12,71,40,4.99,CI,1706288868
239,ciudad bolivar,8.1222,-63.5497,308.17,28,83,5.14,VE,1706288868
240,kapa'a,22.0752,-159.319,295.14,84,100,2.06,US,1706288868
241,hasaki,35.7333,140.8333,276.37,52,4,5.0,JP,1706288868
242,jinka,5.65,36.65,294.65,60,76,1.15,ET,1706288868
243,kodiak,57.79,-152.4072,268.88,68,0,6.17,US,1706288868
244,shingu,33.7333,135.9833,274.48,79,3,2.86,JP,1706288868
245,beira,-19.8436,34.8389,298.56,71,0,4.66,MZ,1706288869
246,yemetsk,63.4721,41.7941,261.84,98,91,1.25,RU,1706288869
247,thal,35.4791,72.2439,268.94,72,41,3.68,PK,1706288869
248,presque isle,46.6811,-68.0159,269.07,81,100,3.6,US,1706288869
249,colonia,50.9333,6.95,281.46,68,75,8.23,DE,1706288759
250,petropavlovsk-kamchatsky,53.0452,158.6483,265.62,87,40,4.0,RU,1706288870
251,poninka,50.1849,27.5363,272.25,93,99,5.24,UA,1706288870
252,tahla,34.0485,-4.428,293.52,34,0,1.03,MA,1706288870
253,pacific grove,36.6177,-121.9166,284.5,82,0,1.79,US,1706288870
254,igarka,67.4667,86.5833,259.34,93,100,8.73,RU,1706288870
255,wum,6.3833,10.0667,299.73,22,2,2.05,CM,1706288870
256,arta,39.1606,20.9853,286.95,68,0,1.21,GR,1706288870
257,at taj,24.2049,23.2857,286.52,46,0,3.92,LY,1706288871
258,yuktae-dong,40.0247,128.1597,268.87,78,2,1.99,KP,1706288871
259,arar,30.9753,41.0381,285.16,62,40,2.57,SA,1706288871
260,saint-leu,-21.15,55.2833,298.61,84,71,5.22,RE,1706288871
261,tarauaca,-8.1614,-70.7656,309.1,42,52,1.11,BR,1706288871
262,salinopolis,-0.6136,-47.3561,301.03,81,61,4.69,BR,1706288872
263,kailua-kona,19.6406,-155.9956,295.65,79,40,3.6,US,1706288872
264,quang ngai,15.1167,108.8,294.03,88,98,1.73,VN,1706288872
265,ilha de mocambique,-15.0342,40.7358,300.64,71,43,6.46,MZ,1706288872
266,bubaque,11.2833,-15.8333,299.1,71,0,6.58,GW,1706288872
267,kapuskasing,49.4169,-82.4331,270.2,86,100,2.06,CA,1706288872
268,smara,26.7384,-11.6719,299.63,12,0,6.54,EH,1706288872
269,worthington,40.0931,-83.018,283.73,90,100,5.66,US,1706288730
270,nova sintra,14.8667,-24.7167,294.49,72,86,4.69,CV,1706288873
271,williams lake,52.1415,-122.1445,274.69,90,100,3.14,CA,1706288873
272,praia da vitoria,38.7333,-27.0667,290.79,94,75,6.73,PT,1706288873
273,parabel',58.6978,81.4825,262.54,96,90,2.24,RU,1706288873
274,klyuchi,52.2667,79.1667,263.72,86,100,3.92,RU,1706288873
275,port douglas,-16.4833,145.4667,300.53,87,100,3.75,AU,1706288873
276,polyarnyy,69.1989,33.4478,263.96,95,100,3.83,RU,1706288874
277,enewetak,11.3474,162.3373,299.07,63,94,5.01,MH,1706288874
278,shenjiamen,29.9576,122.298,277.9,54,38,3.54,CN,1706288874
279,grantsville,40.5999,-112.4644,277.58,95,63,0.8,US,1706288874
280,nikolayevsk-on-amure,53.1406,140.73,257.57,90,100,1.36,RU,1706288874
281,pleasant hill,37.948,-122.0608,286.38,86,100,0.0,US,1706288875
282,plesetsk,62.708,40.2916,263.41,98,99,1.43,RU,1706288875
283,cascais,38.6979,-9.4215,294.68,76,0,3.13,PT,1706288875
284,alo,7.4178,6.7371,308.47,12,2,2.24,NG,1706288875
285,koshki,54.2091,50.4677,266.1,94,99,5.62,RU,1706288875
286,zag,46.9441,99.165,248.15,71,1,1.77,MN,1706288875
287,fale old settlement,-9.3852,-171.2468,302.58,69,100,4.22,TK,1706288875
288,chos malal,-37.3781,-70.2709,308.23,10,49,2.23,AR,1706288876
289,gadzhiyevo,69.2551,33.3362,263.42,96,100,3.83,RU,1706288876
290,copiapo,-27.3667,-70.3333,302.11,40,1,3.8,CL,1706288876
291,mount isa,-20.7333,139.5,297.02,88,100,2.57,AU,1706288876
292,vila franca do campo,37.7167,-25.4333,291.42,99,100,5.29,PT,1706288876
293,altamira,-3.2033,-52.2064,303.2,74,100,2.57,BR,1706288584
294,sao domingos do maranhao,-5.5758,-44.3853,301.57,81,96,1.67,BR,1706288876
295,minas de marcona,-15.2119,-75.1103,298.46,56,62,4.57,PE,1706288877
296,mammoth lakes,37.6485,-118.9721,278.34,40,0,1.54,US,1706288877
297,canutama,-6.5339,-64.3831,298.91,90,100,0.65,BR,1706288621
